id,name,dept,salary,age
796,Amina,Finance,72477.75,37
797,Alex,Marketing,78528.65,31
801,Aicha,Finance,59322.12,25
806,Alex,Marketing,78462.12,22
816,Mohammed,Engineering,61648.93,28
820,Yassine,Sales,54366.87,32
823,Hiba,Sales,61876.00,26
825,Alex,Engineering,70339.82,35
827,Hiba,Sales,72687.44,21
833,Aicha,Sales,63062.34,26
834,Mohammed,HR,67465.06,21
837,Omar,Marketing,73611.69,27
854,Alex,Marketing,59217.66,25
856,Sara,Finance,75422.63,37
858,Yassine,Sales,77797.95,25
859,Vanessa,Finance,58685.00,20
860,Mariam,HR,61160.21,31
861,Sara,Finance,71550.13,25
869,Hiba,Marketing,54904.44,29
876,Aicha,HR,57688.12,22
880,Aicha,Engineering,52224.13,24
881,Mohammed,Sales,71100.96,21
882,Aicha,Marketing,69792.73,37
888,Amina,Finance,76882.52,36
893,Aicha,Finance,79327.79,34
895,Aicha,Finance,50578.46,37
898,Sara,Engineering,71333.00,25
903,Hiba,Engineering,78815.52,29
904,Omar,HR,67443.23,39
905,Aicha,Sales,68312.57,23
906,Amina,Sales,70028.17,20
917,Mariam,Marketing,71149.53,28
919,Omar,Sales,61212.59,27
927,Aicha,HR,68426.70,22
934,Amina,Engineering,64249.49,33
937,Sara,Marketing,68031.99,28
942,Alex,Finance,58881.25,33
957,Vanessa,Finance,77793.63,32
960,Hiba,Sales,71658.10,39
961,Hiba,Engineering,51120.19,39
962,Hiba,Finance,75745.92,29
968,Mohammed,Finance,62349.95,38
969,Alex,Sales,71860.06,36
970,Mariam,Sales,62708.19,25
976,Aicha,Marketing,70361.20,34
980,Sara,Engineering,66395.93,32
982,Mohammed,HR,57302.31,22
988,Vanessa,Engineering,77318.79,38
989,Alex,HR,78685.40,29
993,Aicha,Finance,59941.23,38
996,Alex,Engineering,75819.39,31
998,Mariam,Engineering,56284.46,26
999,Amina,Engineering,64535.42,23
